,Country,Region,Happiness Rank,Happiness Score,Dystopia Residual,Personal_sum,Country_sum,cluster
113,Ghana,Sub-Saharan Africa,114,4.633,2.30919,1.62644,0.69784,4
114,Zimbabwe,Sub-Saharan Africa,115,4.61,2.44191,1.6385100000000001,0.52927,4
115,Liberia,Sub-Saharan Africa,116,4.571,2.77729,1.20289,0.59125,4
116,India,Southern Asia,117,4.565,2.27513,1.54202,0.74753,4
117,Sudan,Sub-Saharan Africa,118,4.55,2.20857,1.90389,0.43803000000000003,4
118,Haiti,Latin America and Caribbean,119,4.518,2.24173,1.3982199999999998,0.87787,4
119,Congo (Kinshasa),Sub-Saharan Africa,120,4.517,2.86712,1.0992600000000001,0.55064,4
120,Nepal,Southern Asia,121,4.514,1.95637,1.7932000000000001,0.76485,1
121,Ethiopia,Sub-Saharan Africa,122,4.512,2.44876,1.23534,0.82823,4
122,Sierra Leone,Sub-Saharan Africa,123,4.507,2.51009,1.28595,0.71114,4
123,Mauritania,Sub-Saharan Africa,124,4.436,2.11773,1.68189,0.63593,1
124,Kenya,Sub-Saharan Africa,125,4.419,1.78555,1.77782,0.85596,1
125,Djibouti,Sub-Saharan Africa,126,4.369,2.05125,1.39523,0.92272,1
126,Armenia,Central and Eastern Europe,127,4.35,1.75873,2.27522,0.31602,0
127,Botswana,Sub-Saharan Africa,128,4.332,1.46181,2.14595,0.7242999999999999,0
128,Myanmar,Southeastern Asia,129,4.307,1.41805,1.46259,1.42639,1
129,Georgia,Central and Eastern Europe,130,4.297,1.59541,1.85678,0.84455,1
130,Malawi,Sub-Saharan Africa,131,4.292,2.80791,0.653,0.83159,4
131,Sri Lanka,Southern Asia,132,4.271,0.67108,2.56235,1.0373299999999999,0
132,Cameroon,Sub-Saharan Africa,133,4.252,1.95071,1.54419,0.75713,1
133,Bulgaria,Central and Eastern Europe,134,4.218,0.89991,2.8847899999999997,0.43379999999999996,0
134,Egypt,Middle East and Northern Africa,135,4.194,1.59927,2.24592,0.34903,0
135,Yemen,Middle East and Northern Africa,136,4.077,1.92313,1.62806,0.52556,1
136,Angola,Sub-Saharan Africa,137,4.033,1.94939,1.7850100000000002,0.2985,1
137,Mali,Sub-Saharan Africa,138,3.995,1.79293,1.50183,0.7000700000000001,1
138,Congo (Brazzaville),Sub-Saharan Africa,139,3.989,1.68135,1.6520700000000001,0.6554,1
139,Comoros,Sub-Saharan Africa,140,3.956,1.95812,1.39494,0.6025800000000001,1
140,Uganda,Sub-Saharan Africa,141,3.931,1.42766,1.68262,0.8206,1
141,Senegal,Sub-Saharan Africa,142,3.904,1.44395,1.77657,0.68328,1
142,Gabon,Sub-Saharan Africa,143,3.896,0.99895,2.3992400000000003,0.49827,0
143,Niger,Sub-Saharan Africa,144,3.845,1.87877,1.13912,0.82718,1
144,Cambodia,Southeastern Asia,145,3.819,0.98195,1.6988800000000002,1.1385200000000002,1
145,Tanzania,Sub-Saharan Africa,146,3.781,1.38079,1.67003,0.7300200000000001,1
146,Madagascar,Sub-Saharan Africa,147,3.681,1.851,1.3434599999999999,0.48641,1
147,Central African Republic,Sub-Saharan Africa,148,3.678,2.7223,0.14549,0.81003,4
148,Chad,Sub-Saharan Africa,149,3.667,1.94296,1.25265,0.47156,1
149,Guinea,Sub-Saharan Africa,150,3.656,1.99172,0.87901,0.78521,1
150,Ivory Coast,Sub-Saharan Africa,151,3.655,1.41723,1.38834,0.84953,1
151,Burkina Faso,Sub-Saharan Africa,152,3.587,1.46494,1.3812499999999999,0.74072,1
152,Afghanistan,Southern Asia,153,3.575,1.9521,0.9260200000000001,0.69643,1
153,Rwanda,Sub-Saharan Africa,154,3.465,0.67042,1.42442,1.3702,1
154,Benin,Sub-Saharan Africa,155,3.34,1.63328,0.9596100000000001,0.7472,1
155,Syria,Middle East and Northern Africa,156,3.006,0.32858,1.86002,0.81769,1
156,Burundi,Sub-Saharan Africa,157,2.905,1.83302,0.65513,0.41639,1
157,Togo,Sub-Saharan Africa,158,2.839,1.56726,0.63306,0.63865,1
