,Country,Region,Happiness Rank,Happiness Score,pca_component_1,pca_component_2,pca_component_3,cluster
78,China,Eastern Asia,79,5.272999763,-0.0734736751038521,-1.5625363665427054,-0.3277494246205121,4
79,Pakistan,Southern Asia,80,5.269000053,1.7620253920524658,0.16888343708290598,1.7554062784324898,3
80,Indonesia,Southeastern Asia,81,5.262000084,-0.0941943730711083,1.6418026481314487,-0.806151042681911,1
81,Venezuela,Latin America and Caribbean,82,5.25,0.3521019979019029,-2.0513223693938833,-0.7875538734305672,4
82,Montenegro,Central and Eastern Europe,83,5.236999989,0.25345689912682073,-1.069012905612868,-0.7811943301800431,4
83,Morocco,Middle East and Northern Africa,84,5.235000134,0.987451666771339,-1.2035384881290605,1.1683843631758961,0
84,Azerbaijan,Central and Eastern Europe,85,5.234000206,-0.07806677771615264,-0.8040262397357111,-0.18510523046731467,4
85,Dominican Republic,Latin America and Caribbean,86,5.230000019,-0.7528256319431901,0.023700177052407664,-0.8466105557369311,4
86,Greece,Western Europe,87,5.227000237,0.3607265542341069,-2.7430290341231935,-1.1398857549652752,4
87,Lebanon,Middle East and Northern Africa,88,5.224999905,0.20313134011610542,-0.6824107830462004,-0.7353639673430177,4
88,Portugal,Western Europe,89,5.195000172,-0.8598193636366168,-1.2256814845333506,-1.6797306892297177,4
89,Bosnia and Herzegovina,Central and Eastern Europe,90,5.18200016,0.7398350451549,-0.6813836930651749,-0.48649913868965056,4
90,Honduras,Latin America and Caribbean,91,5.181000233,0.6343507956510414,-0.3516729092187485,0.3293938589161115,4
91,Macedonia,Central and Eastern Europe,92,5.175000191,0.11858826185739929,-0.46834045105761235,-0.7448851108848299,4
92,Somalia,Sub-Saharan Africa,93,5.151000023,1.6374701211105265,2.124317710031336,3.6370600880088397,3
93,Vietnam,Southeastern Asia,94,5.073999882,-0.37963148154957854,0.3180435232414697,-0.48031576084442157,4
94,Nigeria,Sub-Saharan Africa,95,5.073999882,1.5546446972496872,-0.15765500262940255,1.203084213046874,3
95,Tajikistan,Central and Eastern Europe,96,5.040999889,0.22486895934540652,0.514424154974145,0.31749446786047936,4
96,Bhutan,Southern Asia,97,5.011000156,-0.5905534705683944,1.9351148377347118,-1.0428452540090896,1
97,Kyrgyzstan,Central and Eastern Europe,98,5.004000187,0.13412148402711632,0.9105321456341694,-0.47164475775116577,1
98,Nepal,Southern Asia,99,4.961999893,0.6571104042191557,0.9530036190134671,0.3191000190037578,3
99,Mongolia,Eastern Asia,100,4.954999924,-0.24895464104735687,0.15896693965545702,-1.581722917407564,4
100,South Africa,Sub-Saharan Africa,101,4.828999996,0.47050046889302105,-0.21656390834157385,-0.41823088094207833,4
101,Tunisia,Middle East and Northern Africa,102,4.804999828,0.9927764563246436,-1.268789718826064,-0.17540067641580956,4
102,Palestinian Territories,Middle East and Northern Africa,103,4.775000095,0.9990415597451847,-0.9881904662148516,-0.1603065316702919,4
103,Egypt,Middle East and Northern Africa,104,4.735000134,0.8619287487429077,-0.6649273714113991,-0.4631737368018113,4
104,Bulgaria,Central and Eastern Europe,105,4.714000225,-0.04269486920750943,-1.4366551561170409,-2.157453447941131,4
105,Sierra Leone,Sub-Saharan Africa,106,4.709000111,2.502545736855898,0.5069527561562,1.9345068741883669,3
106,Cameroon,Sub-Saharan Africa,107,4.695000172,1.919700957507453,0.3380663209138829,1.329868932769183,3
107,Iran,Middle East and Northern Africa,108,4.691999912,0.9364756933433388,0.3493918937490722,-1.0411454213738018,4
108,Albania,Central and Eastern Europe,109,4.644000053,0.6612172077048102,-0.36620088094460723,-0.8578122784609936,4
109,Bangladesh,Southern Asia,110,4.607999802,1.132375038498396,0.3423163488887792,0.617151699908715,3
110,Namibia,Sub-Saharan Africa,111,4.573999882,0.6175865446003422,-0.21590260284043267,-0.38174141935924555,4
